,Selected,FeatLabel,FeatIndex,"Description"
988,1,WEAPON_SPECIALIZATION_TRIDENT,1073,"Prerequisite: Fighter with Base attack bonus of +4 or higher, Weapon Focus in the chosen weapon type. A character with this feat has trained especially hard with a specific weapon group, gaining a +2 damage bonus with that category. Use: This feat may be selected multiple times, but the effects do not stack. It applies to a new weapon in each case, so long as that group is already associated with Weapon Focus. NWN Manual - pg. 100."
987,1,WEAPON_FOCUS_TRIDENT,1072,"Prerequisite: Proficiency with the chosen weapon type, Base attack bonus of +1 or higher. A character with this feat is particularly skilled with a specific weapon, gaining a +1 attack bonus with them. Use: Automatic. This feat may be selected multiple times, but the effects do not stack. It applies to a new weapon in each case. NWN Manual - pg. 99."
986,1,EPIC_SUPERIOR_WEAPON_FOCUS,1071,"Prerequisite: Weapon of Choice, Epic Weapon Master. The Weapon Master gains a +1 bonus to all attack rolls with their weapon of choice at 13th level and every three levels afterwards. This bonus stacks with the Weapon Master's Superior Weapon Focus feat. Use: Automatic."
985,1,PRESTIGE_POISON_SAVE_EPIC,1070,"Prerequisite: Epic Assassin. The Assassins natural saving throw bonus to all poisons continues to increase by +1 for each two levels after 10th. Use: Automatic."
984,1,EPIC_DRUID_INFINITE_ELEMENTAL_SHAPE,1069,"Prerequisite: Druid, 26th Level. Upon reaching 26th level, a Druid gains unlimited uses of his Elemental Shape ability. Use: Automatic."
983,1,EPIC_DRUID_INFINITE_WILDSHAPE,1068,"Prerequisite: Druid, 22th Level. Upon reaching 22th level, a Druid gains unlimited uses of his Wildshape ability. Use: Automatic."
982,,EPIC_BARBARIAN_DAMAGE_REDUCTION,1067,"Prerequisite: Barbarian level 23+. An epic barbarian's damage reduction allows him to ignore the first 5 points of damage from any physical attack. This ability increases by +1 point every 3rd level past 23rd. Use: Automatic."
981,,EPIC_SHIFTER_INFINITE_HUMANOID_SHAPE,1066,"Prerequisite: Shifter. A shifter's ability to shapeshift into different forms grows while he is gaining levels. At some point the shifter is able to change into certain forms an infinite number of times per day: Level 4"
980,,EPIC_SHIFTER_INFINITE_WILDSHAPE_4,1065,"See FEAT_EPIC_SHIFTER_INFINITE_HUMANOID_SHAPE."
979,,EPIC_SHIFTER_INFINITE_WILDSHAPE_3,1064,"See FEAT_EPIC_SHIFTER_INFINITE_HUMANOID_SHAPE."
978,,EPIC_SHIFTER_INFINITE_WILDSHAPE_2,1063,"See FEAT_EPIC_SHIFTER_INFINITE_HUMANOID_SHAPE."
977,,EPIC_SHIFTER_INFINITE_WILDSHAPE_1,1062,"See FEAT_EPIC_SHIFTER_INFINITE_HUMANOID_SHAPE."
976,,EPIC_CONSTRUCT_SHAPE,1061,"Prerequisite: Epic Shifter, Wisdom 27. The character can shapeshift into the following construct forms: Iron Golem, Stone Golem or Demonflesh Golem. Use: Selected. After choosing the ability, the character must select the type of construct to change into. HotU manual - page 51."
975,,EPIC_OUTSIDER_SHAPE,1060,"Prerequisite: Epic Shifter, Wisdom 25. The character can assume different outsider shapes three times per day: either an Azer Chieftan, a Rakshasa or a Death Slaad. Use: Selected. After choosing the ability, the character must select the type of outsider to change into. HotU manual - page 58."
974,1,PRESTIGE_ENCHANT_ARROW_20,1059,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
973,,PRESTIGE_ENCHANT_ARROW_19,1058,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
972,,PRESTIGE_ENCHANT_ARROW_18,1057,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
971,,PRESTIGE_ENCHANT_ARROW_17,1056,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
970,,PRESTIGE_ENCHANT_ARROW_16,1055,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
969,,PRESTIGE_ENCHANT_ARROW_15,1054,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
968,,PRESTIGE_ENCHANT_ARROW_14,1053,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
967,,PRESTIGE_ENCHANT_ARROW_13,1052,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
966,,PRESTIGE_ENCHANT_ARROW_12,1051,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
965,,PRESTIGE_ENCHANT_ARROW_11,1050,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
964,,PRESTIGE_ENCHANT_ARROW_10,1049,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
963,,PRESTIGE_ENCHANT_ARROW_9,1048,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
962,,PRESTIGE_ENCHANT_ARROW_8,1047,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
961,,PRESTIGE_ENCHANT_ARROW_7,1046,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
960,,PRESTIGE_ENCHANT_ARROW_6,1045,"The arcane archer is able to shoot arrows with increased precision and damage. This ability is automatically applied to all arrows fired and increases with experience. SoU manual - page 14. For every two levels beyond 9th, the potency of the arrows fired increases by +1. HotU manual - page 22."
959,,DRAGON_HDINCREASE_D10,1044,"Red dragon disciples gain this feat at level 6. Now gains d10 hit points per level. HotU manual - page 31."
958,,DRAGON_HDINCREASE_D8,1043,"Red dragon disciples gain this feat at level 4. Now gains d8 hit points per level. HotU manual - page 31."
957,,DRAGON_HDINCREASE_D6,1042,"Prerequisite: Red Dragon Disciple. As the dragon disciple gains levels in this prestige class, his base hit die type changes. This change is not retroactive. Level 1 - d6 4 - d8 6 - d10 Use: Automatic"
956,,SHOU_DISCIPLE_DODGE_3,1031,"NOTE: This feat is not defined (all *s) in the feats.2da file."
955,1,PRESTIGE_DEATH_ATTACK_20,1030,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
954,,PRESTIGE_DEATH_ATTACK_19,1029,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
953,,PRESTIGE_DEATH_ATTACK_18,1028,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
952,,PRESTIGE_DEATH_ATTACK_17,1027,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
951,,PRESTIGE_DEATH_ATTACK_16,1026,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
950,,PRESTIGE_DEATH_ATTACK_15,1025,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
949,,PRESTIGE_DEATH_ATTACK_14,1024,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
948,,PRESTIGE_DEATH_ATTACK_13,1023,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
947,,PRESTIGE_DEATH_ATTACK_12,1022,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
946,,PRESTIGE_DEATH_ATTACK_11,1021,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
945,,PRESTIGE_DEATH_ATTACK_10,1020,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
944,,PRESTIGE_DEATH_ATTACK_9,1019,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
943,1,BLACKGUARD_SNEAK_ATTACK_15D6,1018,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
942,,BLACKGUARD_SNEAK_ATTACK_14D6,1017,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
941,,BLACKGUARD_SNEAK_ATTACK_13D6,1016,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
940,,BLACKGUARD_SNEAK_ATTACK_12D6,1015,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
939,,BLACKGUARD_SNEAK_ATTACK_11D6,1014,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
938,,BLACKGUARD_SNEAK_ATTACK_10D6,1013,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
937,,BLACKGUARD_SNEAK_ATTACK_9D6,1012,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
936,,BLACKGUARD_SNEAK_ATTACK_8D6,1011,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
935,,BLACKGUARD_SNEAK_ATTACK_7D6,1010,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
934,,BLACKGUARD_SNEAK_ATTACK_6D6,1009,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
933,,BLACKGUARD_SNEAK_ATTACK_5D6,1008,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
932,,BLACKGUARD_SNEAK_ATTACK_4D6,1007,"Increases by +1d6 every three levels after 10th. HotU Manual - page 24."
931,,PRESTIGE_DEATH_ATTACK_8,1006,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
930,,PRESTIGE_DEATH_ATTACK_7,1005,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
929,,PRESTIGE_DEATH_ATTACK_6,1004,"See FEAT_PRESTIGE_DEATH_ATTACK_1."
928,,EPIC_EPIC_FIEND,1003,"Prerequisite: 21st level, Blackguard 15. The character's evil and hatred grow strong enough to attact the attention of an Epic Vrock when summoning a fiendish servant from the outer planes. This vile creature is a master in the arts of melee combat and, fueled by its master's evil soul, grows in strength and power as the blackguard gains new levels. Use: Automatic. HotU manual - page 53."
927,,EPIC_EPIC_SHADOWLORD,1002,"Prerequisite: Epic Shadowdancer. The character's Summon Shadow ability is reinforced, allowing him to call an Epic Shadowlord to his side. Unlike a non-epic Shadowlord, an Epic Shadowlord is a potent fighter, reinforced by his master's lifeforce, making him stronger each time the shadowdancer gains a level. Use: Automatic. HotU manual - page 54."
926,1,EPIC_CHARACTER,1001,"Characters are capable of choosing legendary feats and raising their skills to god-like levels."
925,1,WEAPON_OF_CHOICE_WHIP,1000,"Weapon Masters gain at level 1. The Weapon Master forms a powerful bond with one type of weapon. Whenever wielding this weapon type, he will get many additional benefits, which improve as he gains experience. HotU manual - page 36."
924,1,EPIC_OVERWHELMING_CRITICAL_WHIP,999,"Prerequisite: 21st level, Cleave, Great Cleave, Improved Critical of the weapon to be chose, Weapon Focus of the weapon to be chosen, Power Attack, and Strength 23+. When using the chosen weapon, the character deals +1d6 points of damage on a successful critical hit. If the weapon's crtical multiplier is x3, add +2d6 and if the multiplier is x4, add 3d6. Use: Automatic. HotU manual - page 59."
923,1,EPIC_WEAPON_SPECIALIZATION_WHIP,998,"Prerequisite: 21st level, Weapon Focus, Epic Weapon Focus, and Weapn Specialization in the chosen weapon. The character gains a +4 bonus to all damage you deal with the chosen weapon. Use: Automatic. HotU manual - page 55."
922,1,EPIC_WEAPON_FOCUS_WHIP,997,"Prerequisite: 21st level, Weapon Focus with the chosen weapon. The character gains a +2 bonus to all attack rolls with the chosen weapon. Use: Combat. HotU manual - page 55."
921,1,EPIC_DEVASTATING_CRITICAL_WHIP,996,"Prerequisite: 21st level, Cleave, Greater Cleave, Improved Critical of the weapon to be chosen, Overwhelming Critical of the weapon to be chosen, Weapon Focus of the weapon to be chosen, Power Attack, Strength 25+. Whenever scoring a critical hit with the chosen weapon, the character's target must make a Fortitude save or die instantly. Creatures who are immune to critical hits are not affected by this feat. Use: Automatic. HotU manual - page 52."
920,1,IMPROVED_CRITICAL_WHIP,995,"Prerequisite: Proficiency with specific weapon, Base attack bonus of +8 or higher. Combat ability doubles the critical threat range with a given weapon. A weapon with a normal critical range of 19-20 would now threaten on a roll of 17-20. Use: Automatic. The threat range of a Keen weapon is already doubled, increasing to triple with this feat. This feat can be selected multiple times, applying to a new weapon category each time."
919,1,WEAPON_SPECIALIZATION_WHIP,994,"Prerequisite: Fighter with Base attack bonus of +4 or higher, Weapon Focus in the chosen weapon type. A character with this feat has trained especially hard with a specific weapon group, gaining a +2 damage bonus with that category. Use: This feat may be selected multiple times, but the effects do not stack. It applies to a new weapon in each case, so long as that group is already associated with Weapon Focus. NWN Manual - pg. 100."
918,1,WEAPON_FOCUS_WHIP,993,"Prerequisite: Proficiency with the chosen weapon type, Base attack bonus of +1 or higher. A character with this feat is particularly skilled with a specific weapon, gaining a +1 attack bonus with them. Use: Automatic. This feat may be selected multiple times, but the effects do not stack. It applies to a new weapon in each case. NWN Manual - pg. 99."
917,1,EPIC_SPELL_EPIC_WARDING,990,"Prerequisite: Spellcraft 34. Grants damage reduction 50/+20 for 1 round per level. This spell is restricted to bards, sorcerers and wizards. HotU manual - page 75."
916,,EPIC_TERRIFYING_RAGE,989,"Prerequisite: Epic Barbarian, Intimidate 25. While the barbarian is raging, any enemy that comes close to him must make a Will save opposed by the barbarian's Intimidate check. If the enemy fails the check, he panics for 1d6 rounds. Opponents with up to twice the barbarian's Hit Dice will not flee but will receive a -2 penalty to attack and saving throw rolls. Creatures with more than 2x the barbarian's Hit Dice are not affected by the rage. Use: Automatic while in rage. HotU manual - page 60."
915,,EPIC_THUNDERING_RAGE,988,"Prerequisite: Epic Barbarian, Strength 25. Any weapon the barbarian wields while in a rage does an additional 2d8 points of damage on a critical hit. Use: Automatic while in rage. HotU manual - page 60."
914,,EPIC_RED_DRAGON_DISC,987,"Hit Die: d12 Skill Points at Each Additional Level: 2+ Int Modifier Bonus Feats: The epic dragon disciple gains a bonus feat every four levels after 10th. Breath weapon damage potential increases by 1d10 for every 3 levels after 10th. The save DC against the breath weapon increases by +1 every 4 levels after 10th. Natural AC increases by +1 for every 5 levels after 10th. Epic Dragon Disciple Bonus Feats List: Armor Skin, Automatic Quicken Spell, Automatic Silent Spell, Automatic Still Spell, Epic Damage Reduction, Epic Prowess, Epic Reputation, Epic Spell Focus, Epic Spell Penetration, Epic Toughness, Improved Combat Casting."
913,1,EPIC_SHIFTER,986,"Hit Die: d8 Skill Points at Each Additional Level: 4+ Int Modifier Bonus Feats: The epic shifter gains a bonus feat every three levels Special Ability: Increases Shifting - At level 13 the shifter gains the ability to use his Humanoid Shape Ability infinite times. At level 16 he gains unlimited use of his Greater Wildshape IV ability. Many aspects of the shifter's Greater Wildshape forms continue to improve as he gains epic levels. Epic Shifter Bonus Feats List: Automatic Quicken Spell, Automatic Silent Spell, Automatic Still Spell, Construct Shape, Dragon Shape, Energy Resistance, Epic Spell Focus, Epic Spell Penetration, Improved Combat Casting, Great Wisdom, Outsider Shape, Undead Shape,"
912,1,EPIC_DWARVEN_DEFENDER,985,"Hit Die: d12 Skill Points at Each Additional Level: 2+ Int Modifier Bonus Feats: The epic dwarven defender gains a bonus feat every four levels Special: Defensive Stance: an additional use per day is gained for every two levels past 9th. Damage Reduction: the damage reduction increases by 3 points for every four levels above 10th. Epic Dwarven Defender Bonus Feats List: Armor Skin, Damage Reduction, Devastating Critical, Energy Resistance, Epic Toughness, Epic Prowess, Epic Weapon Focus, Overwhelming Critical, Perfect Health."
911,1,EPIC_PALE_MASTER,984,"Hit Die: d6 Skill Points at Each Additional Level: 2+ Int Modifier Bonus Feats: The epic pale master gains a bonus feat every three levels Special Abilities: -Boneskin: Improves by +2 for every four levels past level 8. -Undead Graft: Can use this supernatural attack an additional time per day for every 3 levels gained. -Death Master Touch: The DC to resist the deadly effect of the epic pale master's touch raises by +1 each 2 levels past level 10. -Deathless Vigor: This feat now grants 5 hit points every five levels. Epic Spells: From level 15 on, the Epic Spells are added to the list of bonus feats the pale master can choose from. Epic Pale Master Bonus Feats List: Automatic Quicken Spell, Automatic Silent Spell, Automatic Still Spell, Energy Resistance, Epic Spell Focus, Epic Spell Penetration, Improved Combat Casting."
910,1,EPIC_WEAPON_MASTER,983,"Hit Die: d10 Skill Points at Each Additional Level: 2+ Int Modifier Bonus Feats: The epic weapon master gains a bonus feat every three levels. Special Ability: Superior Weapon Focus: For every three levels after 10th an additional +1 bonus to attack is granted to the Weapon of Choice. Epic Weapon Master Bonus Feats List: Armor Skin, Blinding Speed, Epic Damage Reduction, Devastating Critical, Epic Toughness, Epic Prowess, Epic Weapon Focus, Improved Whirlwind Attack, Overwhelming Critical, Superior Initiative."
909,1,EPIC_DIVINE_CHAMPION,982,"Hit Die: d10 Skill Points at Each Additional Level: 2+ Int Modifier Bonus Feats: The epic champion of Torm gains a bonus feat every four levels. Special: Sacred Defense: Saving throws continue to improve by +1 for every 2 levels. Divine Wrath: Every five levels the attack, damage and saving throw bonuses increases by a further +2. Epic Champion of Torm Bonus Feats List: Automatic Quicken Spell, Automatic Silence Spell, Automatic Still Spell, Armor Skin, Epic Damage Reduction, Epic Prowess, Devastating Critical, Epic Toughness, Epic Weapon Focus, Great Wisdom, Greater Smiting, Improved Combat Casting, Improved Stunning Fist, Improved Whirlwind Attack, Overwhelming Critical, Planar Turning, Epic Spell Focus, Epic Spell Penetration, Superior Initiative."
908,,EPIC_HARPER_SCOUT,981,"UNKNOWN"
907,,EPIC_SHADOWDANCER,980,"Hit Die: d8 Skill Points at Each Additional Level: 6+ Int Modifier Bonus Feats: The epic shadowdancer gains a bonus feat every three levels Special Ability: Shadow Evade: gains an additional +2 to its damage reduction amount and an additional +1 to its ability to resist magical weapons for every five levels (i.e., a 15th level shadowdancer has 20% concealment and 12/4 damage reduction). Epic Shadowdancer Bonus Feats List: Blinding Speed, Epic Shadow Lord, Epic Skill Focus, Epic Dodge, Epic Reflexes, Improved Whirlwind Attack, Self-Concealment, Superior Initiative."
906,1,EPIC_BLACKGUARD,979,"Hit Die: d10 Skill Points at Each Additional Level: 2+ Int Modifier Bonus Feats: The epic blackguard gains a bonus feat every three levels Special: Sneak attack: increases by +1d6 every three levels after 10th. Summon Fiend: For every five blackguard levels above 10th, the summoned fiend gains +2 bonus Hit Dice, its natural armor increases by +2, and its Strength and Intelligence each increase by +1. Epic Blackguard Bonus Feats List: Armor Skin, Devastating Critical, Epic Toughness, Epic Weapon Focus, Epic Reputation, Epic Fiendish Servant, Epic Prowess, Great Smiting, Improved Combat Casting, Improved Sneak Attack, Overwhelming Critical, Perfect Health, Planar Turning."
905,,EPIC_ASSASSIN,978,"Hit Die: d6 Skill Points at Each Additional Level: 4+ Int Modifier Bonus Feats: The epic assassin gains a bonus feat every four levels after 10th. Special: Sneak Attack: improves by +1d6 every two levels after 9th.  Poison Saving Throws: an additional +1 for every two levels after 10th on the assassin's saving throws against poison. Epic Assassin Bonus Feats List: Epic Reflexes, Epic Skill Focus (hide), Epic Skill Focus (move silently), Great Dexterity, Improved Combat Casting, Improved Sneak Attack, Self-Concealment, Superior Initiative."
904,,EPIC_ARCANE_ARCHER,977,"Hit Die: d8 Skill Points at Each Additional Level: 4+ Int Modifier Bonus Feats: The epic arcane archer gains a bonus feat every four levels Special: Enchant Arrow: For every two levels beyond 9th, the potency of the arrows fired by the arcane archer increases by +1. Epic Arcane Archer Bonus Feats List: Blinding Speed, Devastating Critical Longbow, Devastating Critical Shortbow, Epic Prowess, Epic Toughness, Epic Reflexes, Great Dexterity, Improved Combat Casting, Overwhelming Critical Longbow, Overwhelming Critical Shortbow, Epic Weapon Focus Longbow, Epic Weapon Focus Shortbow"
903,1,EPIC_WIZARD,976,"Hit Die: d4 Skill Points at Each Additional Level: 2+ Int Modifier Bonus Feats: The epic wizard gains a bonus feat every three levels after 20th. Epic Wizard Bonus Feats List: Automatic Quicken Spell, Automatic Silent Spell, Automatic Still Spell, Epic Spell Focus, Epic Spell Penetration, Great Intelligence, Improved Combat Casting."
902,,EPIC_SORCERER,975,"Hit Die: d4 Skill Points at Each Additional Level: 2+ Int Modifier Bonus Feats: The epic sorcerer gains a bonus feat every three levels after 20th. Epic Sorcerer Bonus Feats List: Automatic Quicken Spell, Automatic Silent Spell, Automatic Still Spell, Energy Resistance, Epic Spell Focus, Epic Spell Penetration, Improved Combat Casting."
901,1,EPIC_ROGUE,974,"Hit Die: d6 Skill Points at Each Additional Level: 8+ Int Modifier Bonus Feats: The epic rogue gains a bonus feat every four levels after 20th. Special Ability: Sneak Attack: this continues to improve by 1d6 at each odd-numbered level the epic rogue gains. Epic Rogue Bonus Feats List: Blinding Speed, Crippling Strike, Defensive Roll, Epic Skill Focus, Epic Dodge, Epic Reputation, Improved Evasion, Improved Sneak Attack, Opportunist, Self-Concealment, Skill Mastery, Slippery Mind, Superior Initiative."
900,1,EPIC_RANGER,973,"Hit Die: d10 Skill Points at Each Additional Level: 4+ Int Modifier Bonus Feats: The epic ranger gains a bonus feat every three levels after 20th Epic Ranger Bonus Feats List: Bane of Enemies, Blinding Speed, Epic Toughness, Epic Prowess, Epic Weapon Focus, Favored Enemy, Improved Combat Casting, Perfect Health."
