,ItemCode,Item
135,hx_ari_armor,ARIBETH_ARMOR
136,hx_ari_armor001,ARIBETH_ARMOR_1
137,m0q0_key_door10,ARIBETH_KEY
138,aribeth_ring,ARIBETH_RING
139,x0_it_mring007,ARIBETH_RING_SHADOWS_OF_UNDRENTIDE
140,ashmlw003,ARIBETH_SHIELD
141,m4aribsword,ARIBETH_SWORD
142,aarcl011,ARMOR_CHAIN_DARK
143,aarcl003,ARMOR_CHAIN_MULTI_COLOR
144,m1q6marcarmor,ARMOR_CHAIN_RUINED
145,m1q4armor1,ARMOR_HALFPLATE_MULTICOLOR
146,c_yhousegrd,ARMOR_HOUSE_GUARD
147,aarcl021,ARMOR_LEATHER_BLACK
148,nw_maarcl021,ARMOR_OF_COMFORT
149,nw_maarcl014,ARMOR_OF_COMMAND
150,x2_cus_armoroffa,ARMOR_OF_FAITH_HORDES_OF_THE_UNDERDARK
151,nw_maarcl004,ARMOR_OF_FLEETNESS
152,nw_maarcl054,ARMOR_OF_FREEDOM
153,nw_maarcl016,ARMOR_OF_HORUS_RE
154,m1q6aarmor01,ARMOR_OF_LORD_NASHER
155,nw_maarcl011,ARMOR_OF_LOYALTY
156,nw_maarcl003,ARMOR_OF_THE_STARS
157,nw_maarcl001,ARMOR_OF_THE_WOLF
158,nw_maarcl013,ARMOR_OF_THORNS
159,nw9uniform,ARMOR_PLATE_NEVERWINTER_NINE
160,m1q6aarmor1,ARMOR_TYRRAN
161,m3q2a14_arness,ARNESS_HEAD
162,nw_wamar001,ARROW
163,x2_wammar001,ARROWS_OF_PETRIFICATION_HORDES_OF_THE_UNDERDARK
164,nw_wammar001,ARROW_OF_THE_VAMPIRE
165,nw_wammar009,ARROW_PLUS1_SHADOWS_OF_UNDRENTIDE
166,nw_wammar010,ARROW_PLUS2_SHADOWS_OF_UNDRENTIDE
167,nw_wammar011,ARROW_PLUS3_SHADOWS_OF_UNDRENTIDE
168,x2_wammar012,ARROW_PLUS4_HORDES_OF_THE_UNDERDARK
169,x2_wammar013,ARROW_PLUS5_HORDES_OF_THE_UNDERDARK
170,x0_it_mneck005,ARVOREEN_AMULET_OF_AID_SHADOWS_OF_UNDRENTIDE
171,m3q3c_journarwyl,ARWYL_JOURNAL
172,nw_wdbmax006,ASCORIAN_DOUBLE_AXE
173,matron_dblaxe,ASCORIAN_DOUBLE_AXE_PLUS2
174,m4asheeraamulet,ASHEERA_AMULET
175,nw_mcloth005,ASLYFERUND_ELVEN_CHAIN
176,nw_wblmfh004,ASP_FLAIL
177,nw_wthmdt004,ASP_NEST
178,wbwmsh003,ASSANTI
179,nw_cloth017,ASSASSIN_GARB
180,nw_wswmls009,ASTRAL_BLADE_PLUS1
181,nw_wswmls011,ASTRAL_BLADE_PLUS2
182,x2_wswmls006,ASTRAL_BLADE_PLUS8_HORDES_OF_THE_UNDERDARK
183,m1q04iauction,AUCTION_ANOUNCEMENT
184,x1_it_spdvscr204,AURA_OF_GLORY_SHADOWS_OF_UNDRENTIDE
185,x1_it_spdvscr701,AURA_OF_VITALITY_SHADOWS_OF_UNDRENTIDE
186,x2_it_spdvscr804,AURA_VERSUS_ALIGNMENT_HORDES_OF_THE_UNDERDARK
187,nw_maarcl006,AURUMVORAX_ARMOR
188,nw_maarcl019,AURUMVORAX_ARMOR_1
189,x0_it_mmedmisc03,AUSTRUTH_HARP_SHADOWS_OF_UNDRENTIDE
190,nw_it_trap034,AVERAGE_ACID_SPLASH_TRAP_KIT
191,nw_it_trap014,AVERAGE_BLOB_OF_ACID_TRAP_KIT
192,nw_it_trap022,AVERAGE_ELECTRICAL_TRAP_KIT
193,nw_it_trap018,AVERAGE_FIRE_TRAP_KIT
194,nw_it_trap030,AVERAGE_FROST_TRAP_KIT
195,nw_it_trap026,AVERAGE_GAS_TRAP_KIT
196,nw_it_trap006,AVERAGE_HOLY_TRAP_KIT
197,nw_it_trap042,AVERAGE_NEGATIVE_TRAP_KIT
198,nw_it_trap038,AVERAGE_SONIC_TRAP_KIT
199,nw_it_trap002,AVERAGE_SPIKE_TRAP_KIT
200,nw_it_trap010,AVERAGE_TANGLE_TRAP_KIT
201,x2_it_spdvscr508,AWAKEN_HORDES_OF_THE_UNDERDARK
202,nw_wdbmax008,AXE_FOR_THE_TALL_KIN_PLUS1
203,nw_wdbmax009,AXE_FOR_THE_TALL_KIN_PLUS3
204,x2_wdbmax005,AXE_FOR_THE_TALL_KIN_PLUS8_HORDES_OF_THE_UNDERDARK
205,nw_waxmbt003,AXE_OF_DEAD_ILLUSK
206,nw_wthmax004,AXE_OF_THE_COMING_STORM
207,nw_waxmgr004,AXE_OF_THE_CULLING
208,x2_wmdwraxe009,AXE_OF_THE_DWARF_LORD_HORDES_OF_THE_UNDERDARK
209,ayalasarmor,AYALA_ARMOR
210,q3b_note,A_NOTE
211,q1hbaby,BABY
212,x2_it_crewps044,BADGER_COMPANION_BITE_LEVEL_21_HORDES_OF_THE_UNDERDARK
213,x2_it_crewps045,BADGER_COMPANION_BITE_LEVEL_25_HORDES_OF_THE_UNDERDARK
214,x2_it_crewps046,BADGER_COMPANION_BITE_LEVEL_30_HORDES_OF_THE_UNDERDARK
215,x2_it_crewps047,BADGER_COMPANION_BITE_LEVEL_35_HORDES_OF_THE_UNDERDARK
216,x2_it_crewps048,BADGER_COMPANION_BITE_LEVEL_40_HORDES_OF_THE_UNDERDARK
217,nw_it_contain006,BAG_OF_HOLDING
218,x1_it_sparscr201,BALAGARN_IRON_HORN_SHADOWS_OF_UNDRENTIDE
219,nw_maarcl025,BALDURAN_ARMOR
220,x2_it_sparscr501,BALL_LIGHTNING_HORDES_OF_THE_UNDERDARK
221,nw_it_crewbs001,BALOR_LONGSWORD
222,nw_it_creitem020,BALOR_PROPERTIES
223,nw_it_crewpb009,BALOR_SLAM
224,nw_it_crewsw001,BALOR_SWORD
225,nw_aarcl011,BANDED_MAIL
226,nw_maarcl051,BANDED_MAIL_PLUS1
227,nw_maarcl064,BANDED_MAIL_PLUS2
228,nw_maarcl076,BANDED_MAIL_PLUS3
229,x0_maarcl019,BANDED_MAIL_PLUS4_SHADOWS_OF_UNDRENTIDE
230,x0_maarcl020,BANDED_MAIL_PLUS5_SHADOWS_OF_UNDRENTIDE
231,x2_maarcl043,BANDED_MAIL_PLUS6_HORDES_OF_THE_UNDERDARK
232,x2_maarcl044,BANDED_MAIL_PLUS7_HORDES_OF_THE_UNDERDARK
233,hx_fireden_ring,BAND_OF_FIRE_AND_FROST
234,x2_wbwmsl005,BANE_OF_THE_UNDEAD_HORDES_OF_THE_UNDERDARK
235,x1_it_spdvscr101,BANE_SHADOWS_OF_UNDRENTIDE
236,x1_it_spdvscr601,BANISHMENT_SHADOWS_OF_UNDRENTIDE
237,2q4_barambasekey,BARAM_BASE_KEY
238,2q4_baram_head,BARAM_HEAD
239,nw_cloth015,BARBARIAN_OUTFIT
240,bardsbarding,BARD_BARDING
241,item,BARD_BARDING_1
242,nw_cloth021,BARD_TUNIC
243,x2_it_spdvscr202,BARKSKIN_HORDES_OF_THE_UNDERDARK
244,m2_cloth_003,BARMAID_OUTFIT
245,m2q2jkey,BARRACKS_KEY
246,x2_it_cmat_adam,BAR_OF_ADAMANTINE
247,x2_it_cmat_iron,BAR_OF_IRON
248,x2_it_cmat_mith,BAR_OF_MITHRAL
249,x2_it_cmat_steel,BAR_OF_STEEL
250,q2atrainingcross,BASIC_TRAINING_CROSSBOW
251,nw_wswbs001,BASTARD_SWORD
252,nw_wswmbs002,BASTARD_SWORD_PLUS1
253,nw_wswmbs009,BASTARD_SWORD_PLUS2
254,nw_wswmbs010,BASTARD_SWORD_PLUS3
255,x0_wswmbs001,BASTARD_SWORD_PLUS4_SHADOWS_OF_UNDRENTIDE
256,x0_wswmbs002,BASTARD_SWORD_PLUS5_SHADOWS_OF_UNDRENTIDE
257,x2_wswmbs003,BASTARD_SWORD_PLUS6_HORDES_OF_THE_UNDERDARK
258,x2_wswmbs004,BASTARD_SWORD_PLUS7_HORDES_OF_THE_UNDERDARK
259,x1batonoftheholy,BATON_OF_THE_HOLY
260,nw_waxbt001,BATTLEAXE
261,nw_waxmbt002,BATTLEAXE_PLUS1
262,nw_waxmbt010,BATTLEAXE_PLUS2
263,nw_waxmbt011,BATTLEAXE_PLUS3
264,x0_waxmbt001,BATTLEAXE_PLUS4_SHADOWS_OF_UNDRENTIDE
265,x0_waxmbt002,BATTLEAXE_PLUS5_SHADOWS_OF_UNDRENTIDE
266,x2_waxmbt003,BATTLEAXE_PLUS6_HORDES_OF_THE_UNDERDARK
267,x2_waxmbt004,BATTLEAXE_PLUS7_HORDES_OF_THE_UNDERDARK
268,x2_it_spdvscr501,BATTLETIDE_HORDES_OF_THE_UNDERDARK
269,nw_it_crewpsp021,BATTLE_DEVOURER_CLAW
270,nw_it_creitem046,BATTLE_DEVOURER_PROPERTIES
271,x2_wbwmsh009,BATTLE_LEGION_BOW_HORDES_OF_THE_UNDERDARK
272,nw_it_crewps009,BAT_FAMILIAR_BITE_SHADOWS_OF_UNDRENTIDE
273,nw_it_creitem103,BAT_FM_HD_10_PROPERTIES
274,nw_it_creitem104,BAT_FM_HD_15_PROPERTIES
275,nw_it_creitem101,BAT_FM_HD_1_PROPERTIES
276,nw_it_creitem105,BAT_FM_HD_20_PROPERTIES
277,nw_it_creitem102,BAT_FM_HD_5_PROPERTIES
278,x0_bearhide,BEAR_HIDE
279,q3_bearhorn,BEASTMASTER_HORN
280,nw_it_creitem197,BEAST_OF_MALAR_PROPERTIES
281,nw_creitembea,BEAST_OF_XVIM_PROPERTIES
282,x2_it_bebpoison,BEBILITH_POISON
283,beckasoutfit,BECKA_OUTFIT
284,x0_armhe014,BEHOLDER_CROWN_SHADOWS_OF_UNDRENTIDE
285,nw_it_msmlmisc23,BELLADONNA
286,nw_it_mbelt018,BELT_OF_AGILITY_PLUS1
287,x2_it_mbelt008,BELT_OF_AGILITY_PLUS10_HORDES_OF_THE_UNDERDARK
288,nw_it_mbelt019,BELT_OF_AGILITY_PLUS2
289,nw_it_mbelt020,BELT_OF_AGILITY_PLUS3
290,nw_it_mbelt021,BELT_OF_AGILITY_PLUS4
291,x2_it_mbelt003,BELT_OF_AGILITY_PLUS5_HORDES_OF_THE_UNDERDARK
292,x2_it_mbelt004,BELT_OF_AGILITY_PLUS6_HORDES_OF_THE_UNDERDARK
293,x2_it_mbelt005,BELT_OF_AGILITY_PLUS7_HORDES_OF_THE_UNDERDARK
294,x2_it_mbelt006,BELT_OF_AGILITY_PLUS8_HORDES_OF_THE_UNDERDARK
295,x2_it_mbelt007,BELT_OF_AGILITY_PLUS9_HORDES_OF_THE_UNDERDARK
296,x2_it_cmat_cloth,BELT_OF_CLOTH
297,x2_it_mbelt001,BELT_OF_CLOUD_GIANT_STRENGTH_HORDES_OF_THE_UNDERDARK
298,nw_it_mbelt008,BELT_OF_FIRE_GIANT_STRENGTH
299,nw_it_mbelt007,BELT_OF_FROST_GIANT_STRENGTH
300,nw_it_mbelt016,BELT_OF_GUIDING_LIGHT
301,nw_it_mbelt002,BELT_OF_HILL_GIANT_STRENGTH
302,nw_it_mbelt006,BELT_OF_INERTIAL_BARRIER
303,x0_it_mbelt002,BELT_OF_LIONS_SHADOWS_OF_UNDRENTIDE
304,x2_it_mbelt002,BELT_OF_STORM_GIANT_STRENGTH_HORDES_OF_THE_UNDERDARK
305,nw_hen_sha1rw,BELT_OF_THE_PERFORMER_PLUS1
306,nw_hen_sha2rw,BELT_OF_THE_PERFORMER_PLUS3
307,nw_hen_sha3rw,BELT_OF_THE_PERFORMER_PLUS5
308,nw_maarcl032,BENZO_LUCK
309,nw_it_sparscr414,BESTOW_CURSE
310,x1_it_sparscr801,BIGBY_CLENCHED_FIST_SHADOWS_OF_UNDRENTIDE
311,x1_it_sparscr901,BIGBY_CRUSHING_HAND_SHADOWS_OF_UNDRENTIDE
312,x1_it_sparscr602,BIGBY_FORCEFUL_HAND_SHADOWS_OF_UNDRENTIDE
313,x1_it_sparscr701,BIGBY_GRASPING_HAND_SHADOWS_OF_UNDRENTIDE
314,x1_it_sparscr502,BIGBY_INTERPOSING_HAND_SHADOWS_OF_UNDRENTIDE
315,x2_cus_bindingso,BINDINGS_OF_BLOOD_HORDES_OF_THE_UNDERDARK
316,nw_it_crewps012,BITE1D10
317,nw_it_crewps001,BITE1D2
318,nw_it_crewps014,BITE1D3
319,nw_it_crewps002,BITE1D4
320,nw_it_crewps005,BITE1D6
321,nw_it_crewps010,BITE1D8
322,nw_it_crewps016,BITE2D10
323,nw_it_crewps022,BITE2D12
324,nw_it_crewps003,BITE2D4
325,nw_it_crewps015,BITE2D6
326,nw_it_crewps017,BITE2D8
327,nw_it_crewps021,BITE4D4
328,nw_it_crewps020,BITE4D6
329,nw_wdbmqs006,BLACKFOREST_STAFF
330,q2_blackarmor,BLACKGUARD_ARMOR
331,q2_blackhel,BLACKGUARD_HELMET
332,nw_wspmsc004,BLACKSOUL_SICKLE
333,x2_c3_wspmsc004,BLACKSOUL_SICKLE_HORDES_OF_THE_UNDERDARK
334,x2_it_sparscr801,BLACKSTAFF_HORDES_OF_THE_UNDERDARK
335,x2_it_wpblkblade,BLACK_BLADE_OF_DIASASTER_HORDES_OF_THE_UNDERDARK
336,x2_it_sparscr901,BLACK_BLADE_OF_DISASTER_HORDES_OF_THE_UNDERDARK
337,mightybowofbaato,BLACK_BOW_OF_BAATOR
338,nw_maarcl009,BLACK_FLAME_ARMOR
339,m1q6f08ritual,BLACK_GRIMOIRE
340,nw_wplmss005,BLACK_KUMADE
341,iw_fakelongsword,BLACK_LONGSWORD
342,blackpearl,BLACK_PEARL
343,nw_wthmax005,BLACK_RAVEN_AXE
344,nw_wswmrp004,BLACK_RIDER_QUILL
345,nw_mcloth004,BLACK_ROBE_OF_THE_ARCHMAGI
346,x2_it_spdvscr603,BLADE_BARRIER_HORDES_OF_THE_UNDERDARK
347,x1_wswmgs001,BLADE_OF_CHULT_SHADOWS_OF_UNDRENTIDE
348,nw_wdbmsw007,BLADE_OF_CORELLON
349,matron_dblsword,BLADE_OF_CORELLON_1
350,q3_shadow_blade,BLADE_OF_SHADOWS
351,nw_wswmka007,BLADE_OF_THE_ELEMENTS
352,nw_it_novel007,BLADE_OF_THE_GLADIATOR
353,matron_longsword,BLADE_OF_THE_GLADIATOR_1
354,nw_wswmgs004,BLADE_OF_THE_RASHEMI
355,nw_wdbmsw005,BLADE_OF_THE_RED_MASQUE
356,x2_it_spdvscr303,BLADE_THIRST_HORDES_OF_THE_UNDERDARK
357,x2_it_cfm_bscrl,BLANK_SCROLL
358,nw_wswmrp006,BLEEDERKIN
359,matron_rapier,BLEEDERKIN_1
360,2q4_illuskwat001,BLESSED_WATER
361,2q4_illuskwater,BLESSED_WATER_1
362,nw_wswmls006,BLESSING_OF_THE_DAYSTAR
363,x2_it_spdvscr103,BLESS_HORDES_OF_THE_UNDERDARK
364,x2_it_spdvscr102,BLESS_WEAPON_HORDES_OF_THE_UNDERDARK
365,nw_wspmsc003,BLIGHTBRINGER_LINEAGE
366,nw_it_sparscr211,BLINDESS_DEAFNESS
367,hx_guard_note2,BLOODIED_NOTE
368,nw_wswmbs004,BLOODLETTER
369,wswmbs009,BLOODLETTER_1
370,x2_wswmbs005,BLOODLETTER_PLUS8_HORDES_OF_THE_UNDERDARK
371,nw_cloth029,BLOODSAILOR_UNIFORM
372,nw_wdbmax007,BLOODSTONE_DOUBLE_AXE
373,qx_bloodsucker,BLOODSUCKER
374,bloodyplate,BLOODY_PLATE
375,x1_it_spdvscr202,BLOOD_FRENZY_SHADOWS_OF_UNDRENTIDE
376,bloodplate,BLOOD_PLATE
377,nw_waxmhn005,BLOOD_RUST_AXE
378,2q6d_bloodwar,BLOOD_WAR_RESEARCH_JOURNAL
379,nw_maarcl028,BLUE_DRAGON_ARMOR
380,x2_c3_maarcl028,BLUE_DRAGON_ARMOR_HORDES_OF_THE_UNDERDARK
381,m3q2f18_blue,BLUE_GEM
382,q2d2bluegladaxe,BLUE_GLADIATOR_AXE
383,q2dbluegladrobe,BLUE_GLADIATOR_ROBE
384,x2_it_lightgem01,BLUE_LIGHT_GEM
385,m3q2f22powder1,BLUE_POWDER
386,q4b_comp1,BLUE_POWDER_1
387,q2brodblue,BLUE_ROD
388,nw_it_crewps023,BLUE_SLAAD_BITE
389,nw_it_creitemunb,BODAK_PROPERTIES
390,nw_it_msmlmisc06,BODAK_TOOTH
391,nw_hen_bodxl1,BODDYKNOCK_CROSSBOW
392,nw_hen_bodxl2,BODDYKNOCK_CROSSBOW_PLUS1
393,nw_hen_bodxl3,BODDYKNOCK_CROSSBOW_PLUS2
394,nw_hen_bodxl4,BODDYKNOCK_CROSSBOW_PLUS3
395,nw_hen_bodpers,BODDYKNOCK_GEM
396,nw_wambo001,BOLT
397,qx_bolts,BOLT_OF_DISPELLING
398,nw_wammbo005,BOLT_OF_FIRE
399,nw_wammbo001,BOLT_OF_FROSTBITE
400,nw_wammbo002,BOLT_OF_LIGHTNING
401,q3_neg_bolts,BOLT_OF_NEGATIVE_ENERGY
402,nw_wammbo004,BOLT_OF_PIERCING
403,nw_wammbo008,BOLT_PLUS1_SHADOWS_OF_UNDRENTIDE
404,nw_wammbo009,BOLT_PLUS2_SHADOWS_OF_UNDRENTIDE
405,nw_wammbo010,BOLT_PLUS3_SHADOWS_OF_UNDRENTIDE
406,x2_wammbo011,BOLT_PLUS4_HORDES_OF_THE_UNDERDARK
407,x2_wammbo012,BOLT_PLUS5_HORDES_OF_THE_UNDERDARK
408,nw_it_crewps030,BOMBARDIER_STINK_BEETLE_BITE
409,x1_it_spdvscr803,BOMBARDMENT_SHADOWS_OF_UNDRENTIDE
410,nw_it_creitemco7,BONE_GOLEM_PROPERTIES
411,nw_wblmms003,BONE_PHOENIX
412,x0_it_mring008,BONE_RING_SHADOWS_OF_UNDRENTIDE
413,x2_it_cfm_wand,BONE_WAND
414,m3barunbook,BOOK
415,m1q6book_helm,BOOK_OF_HELM
416,nw_it_mboots002,BOOTS_OF_ELVENKIND
417,nw_it_mboots015,BOOTS_OF_HARDINESS_PLUS1
418,nw_it_mboots016,BOOTS_OF_HARDINESS_PLUS2
419,nw_it_mboots017,BOOTS_OF_HARDINESS_PLUS3
420,it_mboots024,BOOTS_OF_HARDINESS_PLUS3_1
421,nw_it_mboots010,BOOTS_OF_REFLEXES_PLUS1
422,x2_it_mboots005,BOOTS_OF_REFLEXES_PLUS10_HORDES_OF_THE_UNDERDARK
423,nw_it_mboots011,BOOTS_OF_REFLEXES_PLUS2
424,it_mboots012,BOOTS_OF_REFLEXES_PLUS2_1
425,nw_it_mboots012,BOOTS_OF_REFLEXES_PLUS3
426,nw_it_mboots013,BOOTS_OF_REFLEXES_PLUS4
427,nw_it_mboots014,BOOTS_OF_REFLEXES_PLUS5
